Year,State,Division,County,Region,Population_Description,Offense,Offender_Race,Offender_Ethnicity,Offender_Age,Offender_Sex,Victim_Type,Location,Weapon,Property_Type,Stolen_Value,Recovered_Value,Recovered?,Recovery_Date
2019,North Carolina,South Atlantic,IREDELL,South,"MSA counties 100,000 or over",Motor Vehicle Theft,,,,,Individual,Residence/Home,,Recreational Vehicles,4000.0,0.0,N,
2019,North Carolina,South Atlantic,WILSON,South,"Cities from 25,000 thru 49,999",Burglary/Breaking & Entering,,,,,Individual,Residence/Home,,Automobile,7000.0,4000.0,Y,04-Feb-19
2019,North Carolina,South Atlantic,JOHNSTON,South,"MSA counties 100,000 or over",Motor Vehicle Theft,,,,,Individual,Parking/Drop Lot/Garage,,Automobile,10000.0,0.0,N,
2019,North Carolina,South Atlantic,CHATHAM,South,"MSA counties from 25,000 thru 99,999",Motor Vehicle Theft,Black or African American,Unknown,57.0,M,Individual,Residence/Home,,Other Motor Vehicles,6200.0,0.0,N,
2019,Rhode Island,New England,PROVIDENCE,Northeast,"Cities under 2,500",Theft From Motor Vehicle,,,,,Financial Institution,School-College/University,,Trailers,4000.0,0.0,N,
2019,North Carolina,South Atlantic,BRUNSWICK,South,"Cities under 2,500",Motor Vehicle Theft,White,Hispanic or Latino,29.0,M,Individual,Construction Site,,Other Motor Vehicles,2500.0,0.0,N,
2019,North Carolina,South Atlantic,DAVIDSON,South,"MSA counties 100,000 or over",Motor Vehicle Theft,,,,,Business,Residence/Home,,Building Materials,3500.0,0.0,N,
2019,Colorado,Mountain,ADAMS,West,"MSA counties 100,000 or over",Motor Vehicle Theft,,,,,Business,Construction Site,,Tools,2850.0,0.0,N,
2019,North Carolina,South Atlantic,MECKLENBURG,South,"Cities from 500,000 thru 999,999",Burglary/Breaking & Entering,,,,,Individual,Residence/Home,,Household Goods,1374.0,0.0,N,
2019,North Carolina,South Atlantic,MECKLENBURG,South,"Cities from 500,000 thru 999,999",All Other Larceny,White,Not Hispanic or Latino,,M,Business,Hotel/Motel/Etc.,,Tools,15000.0,0.0,N,
2019,North Carolina,South Atlantic,MECKLENBURG; UNION,South,"Cities from 10,000 thru 24,999",False Pretenses/Swindle/Confidence Game,,,,,Business,Rental Storage Facility,,Industrial Equipment,25000.0,0.0,N,
2019,North Carolina,South Atlantic,DAVIDSON,South,"Cities from 10,000 thru 24,999",All Other Larceny,White,Not Hispanic or Latino,42.0,M,Individual,Field/Woods,,Aircraft,2000.0,0.0,N,
2019,Missouri,West North Central,ST CHARLES,Midwest,"Cities from 50,000 thru 99,999",Motor Vehicle Theft,,,,,Individual,Bar/Nightclub,,Automobile,4000.0,0.0,N,
2019,North Carolina,South Atlantic,ASHE,South,"Non-MSA counties from 10,000 thru 24,999",Destruction/Damage/Vandalism of Property,White,Not Hispanic or Latino,,F,Individual,Parking/Drop Lot/Garage,,Tools,3185.0,200.0,Y,11-Jul-19
2019,North Carolina,South Atlantic,WILSON,South,"Cities from 25,000 thru 49,999",Motor Vehicle Theft,,,,,Individual,Convenience Store,,Automobile,2000.0,0.0,N,
2019,North Carolina,South Atlantic,WILSON,South,"Cities from 25,000 thru 49,999",Burglary/Breaking & Entering,,,,,Individual,Residence/Home,,Radio/ TV/ VCR,3412.0,0.0,N,
2019,North Carolina,South Atlantic,UNION,South,"Cities from 25,000 thru 49,999",Motor Vehicle Theft,,,,,Individual,Bar/Nightclub,,Automobile,5000.0,5000.0,Y,08-Dec-19
2019,South Carolina,South Atlantic,DORCHESTER; CHARLESTON,South,"Cities from 100,000 thru 249,999",Motor Vehicle Theft,,,,,Individual,Parking/Drop Lot/Garage,,Automobile,9500.0,0.0,N,
2019,Ohio,East North Central,WAYNE,Midwest,"Non-MSA counties from 25,000 thru 99,999",Burglary/Breaking & Entering,,,,,Individual,Other/Unknown,,Recreational Vehicles,1719.0,0.0,N,
2019,South Carolina,South Atlantic,DORCHESTER; CHARLESTON,South,"Cities from 100,000 thru 249,999",Motor Vehicle Theft,,,,,Individual,Residence/Home,,Automobile,26000.0,0.0,N,
2019,South Carolina,South Atlantic,DORCHESTER; CHARLESTON,South,"Cities from 100,000 thru 249,999",Motor Vehicle Theft,,,,,Individual,Bar/Nightclub,,Automobile,9500.0,0.0,N,
2019,South Carolina,South Atlantic,DORCHESTER; CHARLESTON,South,"Cities from 100,000 thru 249,999",False Pretenses/Swindle/Confidence Game,,,,,Individual,Convenience Store,,Money,5000.0,0.0,N,
2019,South Carolina,South Atlantic,BEAUFORT,South,"Cities from 10,000 thru 24,999",Burglary/Breaking & Entering,,,,,Individual,Residence/Home,,Money,5340.0,0.0,N,
2019,North Carolina,South Atlantic,FRANKLIN; WAKE,South,"Cities from 25,000 thru 49,999",Burglary/Breaking & Entering,,,,,Individual,Grocery/Supermarket,,Money,2500.0,0.0,N,
2019,North Carolina,South Atlantic,BURKE,South,"MSA counties from 25,000 thru 99,999",Motor Vehicle Theft,,,,,Individual,Residence/Home,,Automobile,20000.0,20000.0,Y,17-May-19
2019,North Carolina,South Atlantic,ASHE,South,"Non-MSA counties from 10,000 thru 24,999",Destruction/Damage/Vandalism of Property,White,Not Hispanic or Latino,,M,Individual,Parking/Drop Lot/Garage,,Tools,3185.0,200.0,Y,11-Jul-19
2019,Tennessee,East South Central,SHELBY,South,"Cities from 500,000 thru 999,999",Theft From Motor Vehicle,Unknown,Unknown,,U,Business,Parking/Drop Lot/Garage,,Clothes/ Furs,5000.0,0.0,N,
2019,North Carolina,South Atlantic,WAKE,South,"Cities under 2,500",Motor Vehicle Theft,,,,,Government,Parking/Drop Lot/Garage,,Recreational Vehicles,3000.0,3000.0,Y,21-Oct-19
2019,North Carolina,South Atlantic,DAVIDSON,South,"Cities from 10,000 thru 24,999",All Other Larceny,White,Unknown,28.0,M,Individual,Rental Storage Facility,,Tools,2018.0,0.0,N,
2019,North Carolina,South Atlantic,WILSON,South,"Cities from 25,000 thru 49,999",Destruction/Damage/Vandalism of Property,,,,,Individual,Residence/Home,,Automobile,7000.0,4000.0,Y,04-Feb-19
2019,North Carolina,South Atlantic,ROBESON,South,"Non-MSA counties from 25,000 thru 99,999",Motor Vehicle Theft,,,,,Individual,Residence/Home,,Automobile,15000.0,0.0,N,
2019,North Carolina,South Atlantic,ROBESON,South,"Non-MSA counties from 25,000 thru 99,999",Motor Vehicle Theft,,,,,Individual,Residence/Home,,Automobile,12000.0,0.0,N,
2019,North Carolina,South Atlantic,ROBESON,South,"Non-MSA counties from 25,000 thru 99,999",Motor Vehicle Theft,,,,,Individual,Residence/Home,,Automobile,12000.0,0.0,N,
2019,North Carolina,South Atlantic,MECKLENBURG,South,"Cities from 500,000 thru 999,999",Theft From Motor Vehicle,,,,,Individual,Residence/Home,,Computer Hard/ Software,1500.0,0.0,N,
2019,Arkansas,West South Central,BENTON,South,"MSA counties from 25,000 thru 99,999",Burglary/Breaking & Entering,,,,,Individual,Abandoned/Condemned Structure,,Watercraft,3200.0,3200.0,Y,13-Aug-19
2019,North Carolina,South Atlantic,MECKLENBURG,South,"Cities from 500,000 thru 999,999",Theft From Motor Vehicle,,,,,Individual,Commercial/Office Building,,Industrial Equipment,30000.0,0.0,N,
